grid_x,grid_t,time,MAE,max_err,interp_type,scheme_order,boundary_order
10,10,4.545797109603882,0.10195765515031079,0.4026032216164658,random,1,1
15,15,16.130879640579224,0.03405024459412997,0.1367942747636104,random,1,1
20,20,50.68446612358093,0.01616928040111579,0.06886209041827551,random,1,1
25,25,135.60532665252686,0.010739059111652096,0.041636515930083884,random,1,1
30,30,341.1962990760803,0.006882676056289061,0.02885302465708539,random,1,1
35,35,805.5438208580017,0.005435665930472169,0.020969442311054576,random,1,1
40,40,1554.7955479621887,0.004593075381025542,0.020103845502717932,random,1,1
45,45,3394.5304415225983,0.004625721326707772,0.01805229655696594,random,1,1
50,50,6827.454892158508,0.004017225592467833,0.015551344659909039,random,1,1
10,10,8.378065586090088,0.101957452997958,0.4025842899445219,random,1,1
15,15,16.134584426879883,0.03404938535394672,0.13679059059217014,random,1,1
20,20,50.90102982521057,0.016169088984372984,0.06889471863248264,random,1,1
25,25,136.7903594970703,0.010739032208944971,0.04161083505644958,random,1,1
30,30,346.92274951934814,0.0068826242691043885,0.028760213059680018,random,1,1
35,35,740.7270164489746,0.005440243189659339,0.021389009339148446,random,1,1
40,40,1571.142038345337,0.0039390496944854345,0.017235478038001295,random,1,1
45,45,3402.280980348587,0.0067369061204992685,0.023583290638506393,random,1,1
50,50,6828.00177359581,0.0029180543207902843,0.012505253594628174,random,1,1
10,10,7.895617246627808,0.10195647862212631,0.40273856968580646,random,1,1
15,15,17.257060527801514,0.03405052911383733,0.13679887131396462,random,1,1
20,20,51.37228751182556,0.01616899952621608,0.068873856349424,random,1,1
25,25,135.53905153274536,0.010739254172213728,0.041626401720106565,random,1,1
30,30,362.379905462265,0.0068826708761542225,0.028751841715614623,random,1,1
35,35,754.7134087085724,0.005435621447170866,0.020868801787230495,random,1,1
40,40,1581.077981710434,0.005545703413638248,0.02269975833519422,random,1,1
45,45,3386.8116886615753,0.003268029014868709,0.013056332288548855,random,1,1
50,50,6807.40802359581,0.008079733808147393,0.025522858374087964,random,1,1
10,10,7.884673357009888,0.10195363206371924,0.40286904461782713,random,1,1
15,15,16.87325167655945,0.034050471526626,0.13681513083429608,random,1,1
20,20,51.16940450668335,0.016168950388579774,0.06887549682625516,random,1,1
25,25,136.34068298339844,0.010748281113975551,0.04244174682626867,random,1,1
30,30,332.44881319999695,0.0068826076847299114,0.029182150591449574,random,1,1
35,35,805.8809022903442,0.0054362699262545605,0.021176824053220522,random,1,1
40,40,1586.452383518219,0.006265892944548022,0.024436683802826153,random,1,1
45,45,3416.9999330043793,0.008452778139707672,0.027745904034050195,random,1,1
50,50,6736.968531370163,0.003400858696993128,0.013912417623409001,random,1,1
10,10,8.370177984237671,0.10195514296111047,0.402574497742867,random,1,1
15,15,15.574566125869751,0.03405015708555833,0.13683040969836935,random,1,1
20,20,49.735220432281494,0.016169178584794216,0.06885315545849668,random,1,1
25,25,138.15605545043945,0.010739188860116324,0.04163263376638471,random,1,1
30,30,355.1780171394348,0.0068826014614510045,0.02874027723460093,random,1,1
35,35,755.9179048538208,0.00548649429997487,0.02280420892472501,random,1,1
40,40,1592.1873769760132,0.0038717808226185857,0.01670905559201563,random,1,1
